archive,bucket,file,method_name,upload_status,row_count,time_column,numeric_count,dataset_id,version_id,profile_status,profile_count,recommend_status,recommend_count,transform_status,transformed_vars,analysis_recommend_status,analysis_sequence,analysis_status,artifact_count,caveat_count,assumption_count,artifact_types,error
mcs2024.zip,trends_figures,commodities/unknown/MCS2025_Fig13_Scrap.csv,structural_break,200,15.0,,4.0,7277a93d-5233-4c2c-893a-e4f098644862,d0df2cb1-c05a-410c-a103-f221ac014195,200.0,4.0,200.0,4.0,200.0,4.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,salient,commodities/unknown/mcs2023-fesla_salient.csv,structural_break,200,5.0,Year,6.0,64484a7e-6e0e-4c77-aa80-948fc5d87f02,9f0a4041-c1b9-441a-b84d-9b42ddea8646,200.0,6.0,200.0,6.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,8.0,12.0,,
mcs2024.zip,trends_figures,commodities/unknown/MCS2025_Fig4_Value_by_Type.csv,structural_break,200,4.0,year,1.0,816960d7-2e7b-4bda-8212-941563dc4003,3812d83f-2496-429d-8f25-1ecbe26d700a,200.0,1.0,200.0,1.0,200.0,1.0,200.0,"decomposition,structural_break",200.0,0.0,3.0,2.0,,
mcs2024.zip,trends_figures,commodities/unknown/MCS2025_Fig11_Pch_Consump_2023_2024.csv,structural_break,200,78.0,,2.0,fb0a91b7-2e92-4e1e-b304-c58b58136295,b99573b2-4120-4c95-bba8-4964d7ff977e,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,commodities/unknown/MCS2025_Fig2_Net_Import_Reliance.csv,structural_break,200,64.0,,2.0,73165f17-d33d-4a2e-bfcc-602b39f1eba2,1d3419c4-b058-45cc-9fd9-09688d40119d,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,other,commodities/unknown/MCS2025_T3_State_Value_Rank.csv,structural_break,200,51.0,Year,3.0,09390576-65e1-415d-bb2a-2b227158b52d,4e1a9c5e-1f66-4a6a-bdc8-bf8f6c00ea7b,200.0,3.0,200.0,3.0,200.0,3.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,11.0,6.0,,
mcs2024.zip,trends_figures,commodities/unknown/MCS2025_Fig3_Major_Import_Sources.csv,structural_break,200,43.0,,1.0,bca15777-9933-42bf-89e4-0b2418fdf13e,44f96145-25b3-4c7a-8790-f31c1c5d0bbb,200.0,1.0,200.0,1.0,200.0,1.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,commodities/unknown/MCS2025_Fig1_Minerals_in_Economy.csv,structural_break,200,14.0,Year,1.0,5605ea9a-f592-4797-b5b4-eb982772e071,14ec41f3-a1d7-4810-8aa1-010898a45a16,200.0,1.0,200.0,1.0,200.0,1.0,200.0,"decomposition,structural_break",200.0,2.0,3.0,2.0,"structural_break_plot,structural_break_result",
mcs2024.zip,world,commodities/unknown/mcs2023-feore_world.csv,structural_break,200,38.0,,4.0,5582c4ee-c131-4daf-a96e-d02f2d30623d,6a41a113-3c8a-43ee-97f4-648ac09cfbe5,200.0,3.0,200.0,3.0,200.0,3.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,trends_figures,commodities/unknown/MCS2025_T2_Mineral_Economic_Trends.csv,structural_break,200,5.0,Year,21.0,5f5e6c2b-e384-4653-ba17-d32031a73eda,40b66ec3-c75e-411a-8344-cc80bade555f,200.0,21.0,200.0,21.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,23.0,42.0,,
mcs2024.zip,world,commodities/unknown/mcs2023-feste_world.csv,structural_break,200,34.0,,3.0,5d858584-c228-4452-9fdb-8215fb2d5f61,5b83fd7a-2c47-48b3-bd01-188b25bbcb65,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,salient,commodities/stron/mcs2024-stron_salient.csv,structural_break,200,5.0,Year,9.0,8516d337-0c0e-4d1b-88e7-d729f8ce2aee,18c4678e-e4ac-4d2e-8caa-d3897231850c,200.0,9.0,200.0,9.0,200.0,5.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,11.0,18.0,,
mcs2024.zip,world,commodities/stron/mcs2024-stron_world.csv,structural_break,200,7.0,,2.0,bf1d9bec-04dc-4220-b223-131bef9adc99,4ecd2f5b-a3b2-49ee-bd4b-7a428875e4f1,200.0,2.0,200.0,2.0,200.0,2.0,200.0,descriptive_summary,200.0,0.0,1.0,0.0,,
mcs2024.zip,salient,commodities/bromi/mcs2024-bromi_salient.csv,structural_break,200,5.0,Year,4.0,513ddf14-9ea0-4e47-b641-1fe15b862807,6af7b2fd-f45e-401f-9b31-48cf377dd289,200.0,4.0,200.0,4.0,200.0,4.0,200.0,"cross_correlation,decomposition,structural_break",200.0,0.0,6.0,8.0,,
